iter	Logloss
0	0.6885081256
1	0.6842113799
2	0.6793471648
3	0.6741560137
4	0.669345964
5	0.6651588165
6	0.6617219038
7	0.6579728113
8	0.6534196484
9	0.6495862791
10	0.6455642299
11	0.6419430065
12	0.6385347602
13	0.6348433795
14	0.6310912893
15	0.6283596756
16	0.6260134948
17	0.6226058934
18	0.6207804801
19	0.6174275102
20	0.6148758757
21	0.6131258445
22	0.6105738346
23	0.6080797978
24	0.6065025172
25	0.6038937209
26	0.6013101133
27	0.5991314193
28	0.5973734471
29	0.5960578179
30	0.5944931452
31	0.5921847719
32	0.5910730848
33	0.5894494117
34	0.5876631162
35	0.5862893211
36	0.5850787789
37	0.5820065357
38	0.579787063
39	0.5779299764
40	0.5766523851
41	0.5753104853
42	0.5741094389
43	0.5733092702
44	0.5711809124
45	0.5696095848
46	0.5683470273
47	0.5673615311
48	0.5661499257
49	0.565686206
50	0.5647965578
51	0.5637518841
52	0.5619318413
53	0.5600556904
54	0.5595483371
55	0.5589498923
56	0.5579098062
57	0.5572458558
58	0.5563478033
59	0.5548051991
60	0.5534123731
61	0.5525605371
62	0.5516924304
63	0.5511716664
64	0.5497478137
65	0.5492038052
66	0.5482252332
67	0.547559491
68	0.5463830577
69	0.545475319
70	0.5447397574
71	0.5434227597
72	0.5431665682
73	0.5427985513
74	0.5422201233
75	0.5415341137
76	0.5402886888
77	0.5391672258
78	0.5382709323
79	0.5374591811
80	0.5367296711
81	0.5362558525
82	0.5359220694
83	0.5352949615
84	0.5348564738
85	0.5341862757
86	0.5336985963
87	0.5332828923
88	0.5330111946
89	0.5325393457
90	0.53209368
91	0.531520344
92	0.5308433455
93	0.530320117
94	0.529908536
95	0.5295541702
96	0.5292637559
97	0.5286655855
98	0.5282239643
99	0.5276402891
100	0.5270506408
101	0.52684006
102	0.5263970451
103	0.5257439773
104	0.5252784143
105	0.524785232
106	0.5243510044
107	0.5239613714
108	0.5234080531
109	0.5229837184
110	0.522788531
111	0.5226732912
112	0.5222652596
113	0.5216217622
114	0.5213547115
115	0.5210776928
116	0.5206539854
117	0.5200889562
118	0.5198612431
119	0.5197184035
120	0.5193085253
121	0.5190869727
122	0.5188235044
123	0.5187420892
124	0.5183239895
125	0.5178768406
126	0.5174226269
127	0.5172151097
128	0.5169274811
129	0.516378978
130	0.5162807131
131	0.515936463
132	0.5154641647
133	0.5153368486
134	0.5149789807
135	0.5145618681
136	0.5142359397
137	0.5141820947
138	0.5140242877
139	0.5138968218
140	0.5132544861
141	0.5131505626
142	0.5126870377
143	0.5119702335
144	0.5115862898
145	0.5114302859
146	0.5112943178
147	0.511154883
148	0.5109905099
149	0.5108376953
150	0.510478489
151	0.5101691044
152	0.5100289054
153	0.5099492088
154	0.5097855615
155	0.5094445041
156	0.5093979974
157	0.5093041248
158	0.5092012786
159	0.509004947
160	0.5089097211
161	0.5089014407
162	0.5086908612
163	0.5082005057
164	0.507998182
165	0.507336431
166	0.5069515972
167	0.5065343955
168	0.5061513459
169	0.5060915906
170	0.5058447804
171	0.5058220797
172	0.5057920861
173	0.5056732906
174	0.5055340047
175	0.5052847787
176	0.5052515854
177	0.5051090088
178	0.5050258188
179	0.505004237
180	0.5049377672
181	0.5049029063
182	0.504734106
183	0.5046560523
184	0.5046499701
185	0.5045260805
186	0.5044385709
187	0.5044009517
188	0.5043220347
189	0.5041435809
190	0.5038387043
191	0.5035713078
192	0.5033928969
193	0.5033877651
194	0.5032325335
195	0.5030798122
196	0.5027951122
197	0.5027901723
198	0.5024646663
199	0.502410533
200	0.502250804
201	0.5020564048
202	0.5019837249
203	0.5018434442
204	0.501814078
205	0.5015625617
206	0.5013744514
207	0.5011911455
208	0.5009152758
209	0.5007782127
210	0.5005666257
211	0.5004161491
212	0.5001408507
213	0.4998281259
214	0.4995144222
215	0.499449988
216	0.4992321469
217	0.4992062113
218	0.4991098608
219	0.4991055869
220	0.4989263187
221	0.4989143184
222	0.4987125123
223	0.4986997116
224	0.4986966049
225	0.4984594628
226	0.498409411
227	0.4981920993
228	0.4981890678
229	0.4981860967
230	0.4980937706
231	0.4980811844
232	0.4980498139
233	0.498009036
234	0.4980063189
235	0.4979809166
236	0.4979324645
237	0.4979299108
238	0.4978705146
239	0.4976776624
240	0.4976655372
241	0.497573885
242	0.4975715487
243	0.497569259
244	0.4975599204
245	0.4975052199
246	0.4971998139
247	0.4969468688
248	0.4968449023
249	0.4967777612
250	0.4967341908
251	0.4966101119
252	0.4965792857
253	0.4961407748
254	0.4958401754
255	0.4958146664
256	0.4955891532
257	0.4955867983
258	0.4954484776
259	0.4952208159
260	0.4951259729
261	0.495124124
262	0.4950953826
263	0.4950936034
264	0.4950103944
265	0.4949967843
266	0.4949951114
267	0.4949643275
268	0.4949528931
269	0.4948975623
270	0.4946991051
271	0.4946927868
272	0.4946847885
273	0.4945723498
274	0.4945606265
275	0.4945123841
276	0.4945032105
277	0.4944920565
278	0.4944170957
279	0.4941529965
280	0.4940717997
281	0.4940007872
282	0.4939994923
283	0.4938706322
284	0.4938290424
285	0.493690013
286	0.4935040588
287	0.4932748381
288	0.4932634155
289	0.4932622626
290	0.4932560587
291	0.493189744
292	0.4931886495
293	0.4931875768
294	0.4930574502
295	0.4928573505
296	0.4928442459
297	0.4926466521
298	0.4926368734
299	0.4925355396
300	0.4924623736
301	0.4924611896
302	0.4924543563
303	0.4924380012
304	0.4924050588
305	0.4923825791
306	0.4922989178
307	0.4921698816
308	0.4919171935
309	0.491897017
310	0.4918619097
311	0.4918290084
312	0.4917528537
313	0.4916342774
314	0.4914263084
315	0.4913836907
316	0.4913123713
317	0.4913102416
318	0.4913096424
319	0.4912396655
320	0.4910093998
321	0.4908992148
322	0.4908776681
323	0.4906460637
324	0.4906259564
325	0.4905706042
326	0.4904779958
327	0.4903937001
328	0.4902782624
329	0.4901968052
330	0.4901061195
331	0.4900236303
332	0.4899779745
333	0.489919881
334	0.4898728443
335	0.4898723921
336	0.4898708127
337	0.48984424
338	0.4897956612
339	0.4897608247
340	0.4897300484
341	0.4894965895
342	0.4894925159
343	0.4893665207
344	0.4892864857
345	0.4891594633
346	0.489158462
347	0.4889587972
348	0.4889480359
349	0.4889428474
350	0.4887522126
351	0.4887518452
352	0.4887343406
353	0.4887340248
354	0.4885619792
355	0.488366462
356	0.4882699175
357	0.4882696122
358	0.4881989977
359	0.4881982225
360	0.4881395519
361	0.4880648163
362	0.487973089
363	0.4876820202
364	0.4875629479
365	0.4875062041
366	0.4873420411
367	0.4873110041
368	0.4872830182
369	0.4871751776
370	0.4871385891
371	0.4869777266
372	0.4867609132
373	0.4867567932
374	0.4867564589
375	0.4867152792
376	0.4867150746
377	0.4867148741
378	0.4866984349
379	0.4865127758
380	0.4864902185
381	0.486490035
382	0.486432657
383	0.4862887434
384	0.4862732776
385	0.4860968204
386	0.48609332
387	0.4858967125
388	0.4858823983
389	0.4856757873
390	0.4856609653
391	0.4856570724
392	0.4855417312
393	0.4853993252
394	0.4853991768
395	0.4853960104
396	0.4852341567
397	0.4852340218
398	0.4852280684
399	0.485227939
400	0.4852239411
401	0.4852209141
402	0.4850981994
403	0.4850980817
404	0.4850894705
405	0.4850885581
