iter	Passed	Remaining
0	81	122555
1	106	79962
2	147	73477
3	188	70682
4	230	68961
5	270	67332
6	299	63778
7	318	59318
8	363	60187
9	382	56926
10	425	57610
11	442	54876
12	479	54896
13	503	53401
14	524	51887
15	546	50731
16	560	48921
17	585	48225
18	601	46859
19	637	47190
20	660	46544
21	683	45894
22	721	46346
23	745	45871
24	761	44944
25	794	45022
26	822	44861
27	848	44618
28	868	44052
29	885	43391
30	900	42686
31	917	42079
32	930	41351
33	956	41248
34	977	40922
35	994	40423
36	1005	39763
37	1029	39593
38	1055	39557
39	1076	39283
40	1107	39425
41	1129	39221
42	1166	39511
43	1179	39017
44	1223	39560
45	1242	39266
46	1260	38953
47	1284	38859
48	1322	39171
49	1332	38648
50	1349	38349
51	1373	38241
52	1412	38567
53	1438	38529
54	1452	38156
55	1466	37802
56	1506	38126
57	1524	37901
58	1540	37627
59	1569	37666
60	1587	37443
61	1606	37253
62	1643	37482
63	1662	37292
64	1694	37419
65	1729	37585
66	1745	37332
67	1764	37158
68	1805	37437
69	1851	37821
70	1876	37773
71	1919	38075
72	1932	37781
73	1945	37490
74	1964	37322
75	1984	37182
76	2005	37070
77	2022	36876
78	2059	37037
79	2096	37218
80	2135	37410
81	2151	37207
82	2166	36983
83	2203	37142
84	2224	37031
85	2264	37236
86	2288	37162
87	2307	37029
88	2320	36785
89	2346	36761
90	2370	36706
91	2403	36785
92	2430	36771
93	2465	36872
94	2505	37061
95	2523	36911
96	2537	36696
97	2576	36863
98	2601	36816
99	2642	36988
100	2680	37123
101	2696	36952
102	2718	36874
103	2762	37085
104	2799	37194
105	2818	37059
106	2866	37316
107	2910	37509
108	2951	37670
109	2990	37793
110	3003	37590
111	3013	37347
112	3038	37290
113	3058	37188
114	3076	37048
115	3098	36972
116	3111	36779
117	3148	36869
118	3167	36754
119	3185	36635
120	3209	36582
121	3247	36682
122	3262	36529
123	3273	36321
124	3295	36248
125	3309	36087
126	3341	36127
127	3357	35985
128	3396	36093
129	3435	36209
130	3449	36050
131	3472	35986
132	3493	35907
133	3503	35715
134	3518	35580
135	3554	35652
136	3567	35492
137	3578	35315
138	3590	35153
139	3600	34978
140	3623	34928
141	3637	34788
142	3674	34873
143	3713	34967
144	3754	35080
145	3775	35018
146	3789	34881
147	3810	34813
148	3839	34813
149	3852	34674
150	3885	34712
151	3927	34828
152	3941	34697
153	3956	34581
154	3975	34496
155	4013	34579
156	4027	34453
157	4044	34348
158	4064	34281
159	4081	34185
160	4099	34092
161	4106	33917
162	4134	33915
163	4177	34028
164	4190	33903
165	4231	34002
166	4272	34104
167	4290	34015
168	4328	34092
169	4340	33960
170	4381	34052
171	4391	33909
172	4409	33821
173	4431	33773
174	4450	33694
175	4490	33784
176	4500	33640
177	4516	33545
178	4527	33416
179	4542	33314
180	4552	33176
181	4564	33056
182	4602	33126
183	4622	33059
184	4634	32945
185	4657	32904
186	4676	32836
187	4687	32716
188	4701	32611
189	4730	32612
190	4770	32694
191	4784	32593
192	4833	32729
193	4841	32595
194	4861	32536
195	4878	32457
196	4904	32438
197	4911	32295
198	4950	32367
199	4963	32261
200	4978	32174
201	5013	32214
202	5026	32114
203	5039	32014
204	5051	31908
205	5085	31947
206	5101	31865
207	5125	31834
208	5140	31751
209	5156	31674
210	5193	31729
211	5234	31802
212	5278	31891
213	5300	31852
214	5343	31936
215	5365	31895
216	5405	31958
217	5416	31854
218	5430	31765
219	5442	31664
220	5481	31725
221	5494	31629
222	5536	31704
223	5551	31625
224	5559	31506
225	5574	31425
226	5593	31365
227	5632	31425
228	5640	31307
229	5649	31192
230	5670	31148
231	5679	31042
232	5695	30972
233	5708	30882
234	5714	30763
235	5728	30679
236	5743	30610
237	5751	30497
238	5762	30402
239	5803	30466
240	5813	30370
241	5832	30320
242	5840	30211
243	5847	30099
244	5856	30001
245	5867	29911
246	5891	29888
247	5928	29927
248	5955	29922
249	5968	29841
250	5979	29753
251	6015	29790
252	6032	29734
253	6074	29800
254	6098	29774
255	6109	29690
256	6149	29744
257	6163	29672
258	6188	29652
259	6232	29723
260	6271	29773
261	6281	29681
262	6305	29657
263	6313	29559
264	6326	29484
265	6335	29392
266	6342	29290
267	6353	29206
268	6362	29116
269	6387	29098
270	6414	29088
271	6423	29001
272	6435	28922
273	6470	28952
274	6483	28880
275	6494	28801
276	6512	28755
277	6521	28668
278	6560	28710
279	6602	28769
280	6642	28817
281	6662	28775
282	6670	28684
283	6705	28709
284	6723	28664
285	6763	28710
286	6806	28766
287	6847	28818
288	6858	28739
289	6865	28645
290	6874	28560
291	6896	28532
292	6904	28440
293	6912	28354
294	6953	28404
295	6999	28471
296	7024	28451
297	7070	28518
298	7082	28448
299	7105	28423
300	7117	28352
301	7130	28287
302	7140	28209
303	7161	28175
304	7173	28104
305	7187	28045
306	7235	28116
307	7279	28172
